driver_id,month,y_true,score
DRV00001,2024-04-01,0,0.26214767086527496
DRV00001,2024-05-01,0,0.22047230620042274
DRV00001,2024-06-01,0,0.22061259995425553
DRV00001,2024-07-01,0,0.2125998693425175
DRV00001,2024-08-01,0,0.1614113551282035
DRV00001,2024-09-01,0,0.19130075545648043
DRV00002,2024-04-01,0,0.29474447623861105
DRV00002,2024-05-01,0,0.26943809684418474
DRV00002,2024-06-01,0,0.228210095173607
DRV00002,2024-07-01,1,0.21843603046560467
DRV00002,2024-08-01,1,0.2749583587553327
DRV00002,2024-09-01,1,0.8540591782273972
DRV00003,2024-04-01,0,0.2648766336087219
DRV00003,2024-05-01,0,0.2791997589519841
DRV00003,2024-06-01,1,0.2924424126980205
DRV00003,2024-07-01,1,0.2026926610720263
DRV00003,2024-08-01,1,0.8026882077619001
DRV00003,2024-09-01,0,0.5996283632380899
DRV00004,2024-04-01,0,0.20599012363794694
DRV00004,2024-05-01,0,0.32824583026124
DRV00004,2024-06-01,0,0.22602408382887473
DRV00004,2024-07-01,1,0.2513395099861315
DRV00004,2024-08-01,1,0.2700717621789315
DRV00004,2024-09-01,1,0.7561834459717596
DRV00005,2024-04-01,0,0.2676360189140134
DRV00005,2024-05-01,0,0.251660027514442
DRV00005,2024-06-01,0,0.3059662793609203
DRV00005,2024-07-01,0,0.2797931541541043
DRV00005,2024-08-01,0,0.24914191108296144
DRV00005,2024-09-01,0,0.25960730816460165
DRV00006,2024-04-01,0,0.27428191181572403
DRV00006,2024-05-01,0,0.27219790292567064
DRV00006,2024-06-01,0,0.3246671813010683
DRV00006,2024-07-01,0,0.19993420075589388
DRV00006,2024-08-01,0,0.24862091767869285
DRV00006,2024-09-01,0,0.30385776015405497
DRV00009,2024-04-01,0,0.20724680758004152
DRV00009,2024-05-01,0,0.19595495983072028
DRV00009,2024-06-01,0,0.1433693813365805
DRV00009,2024-07-01,0,0.18818873870909678
DRV00009,2024-08-01,0,0.21164091692531717
DRV00009,2024-09-01,0,0.18391956068767137
DRV00010,2024-04-01,0,0.25837902480698266
DRV00010,2024-05-01,0,0.16921131459493913
DRV00010,2024-06-01,0,0.29626399381824636
DRV00010,2024-07-01,0,0.38242984376791395
DRV00010,2024-08-01,0,0.3555695933885645
DRV00010,2024-09-01,0,0.2988695571706869
DRV00011,2024-04-01,0,0.314032640439164
DRV00011,2024-05-01,0,0.2756225145610693
DRV00011,2024-06-01,0,0.21425654503699956
DRV00011,2024-07-01,0,0.17145077609526285
DRV00011,2024-08-01,0,0.2627464499953892
DRV00011,2024-09-01,0,0.19514084089367933
DRV00012,2024-04-01,0,0.394974014954911
DRV00012,2024-05-01,0,0.3940935254734411
DRV00012,2024-06-01,0,0.36915337785365976
DRV00012,2024-07-01,0,0.24723969524750736
DRV00012,2024-08-01,0,0.3584837111139668
DRV00012,2024-09-01,0,0.3738298591062529
DRV00013,2024-04-01,0,0.24905753457264226
DRV00013,2024-05-01,0,0.20799014775060265
DRV00013,2024-06-01,0,0.2475979623561999
DRV00013,2024-07-01,0,0.27728819379941905
DRV00013,2024-08-01,0,0.35382030451034074
DRV00013,2024-09-01,0,0.23637606531854466
DRV00014,2024-04-01,0,0.22573648336634683
DRV00014,2024-05-01,0,0.21155344151428182
DRV00014,2024-06-01,0,0.23237306589356627
DRV00014,2024-07-01,0,0.16171112557190462
DRV00014,2024-08-01,0,0.23129787792795828
DRV00014,2024-09-01,0,0.2612849882482796
DRV00015,2024-04-01,0,0.1908808863389128
DRV00015,2024-05-01,0,0.20236325565699542
DRV00015,2024-06-01,0,0.19291299927602545
DRV00015,2024-07-01,0,0.2917579501277981
DRV00015,2024-08-01,0,0.1767797573681547
DRV00015,2024-09-01,0,0.2448559481081602
DRV00016,2024-04-01,0,0.22827280848129688
DRV00016,2024-05-01,0,0.3001673859872492
DRV00016,2024-06-01,0,0.21577625197698191
DRV00016,2024-07-01,0,0.299135016721892
DRV00016,2024-08-01,0,0.1744457979081094
DRV00016,2024-09-01,0,0.28822185955689816
DRV00017,2024-04-01,0,0.2443613262212174
DRV00017,2024-05-01,0,0.23616425610404226
DRV00017,2024-06-01,0,0.22224722118468032
DRV00017,2024-07-01,0,0.18218472034472788
DRV00017,2024-08-01,0,0.1816492212452215
