driver_id,y_true,score,n_months
DRV00132,1,0.8116709380766262,6
DRV00088,1,0.8102806501180254,6
DRV00051,1,0.8098904630985588,6
DRV00058,1,0.8086104151734348,6
DRV00129,1,0.8065404741378265,6
DRV00038,1,0.8061181012572444,6
DRV00094,1,0.8041620361221904,6
DRV00060,1,0.8040770092302381,6
DRV00100,1,0.7996867501945103,6
DRV00089,1,0.7996121506323922,6
DRV00002,1,0.7994948524909833,6
DRV00004,1,0.7990464456435277,6
DRV00105,1,0.7988907059354128,6
DRV00018,1,0.7988419995169033,6
DRV00066,1,0.7965037328869408,6
DRV00070,1,0.7942486791464254,6
DRV00090,1,0.7930295332731974,6
DRV00003,1,0.7910258452533216,6
DRV00101,1,0.7908671563463997,6
DRV00074,1,0.7902624040199191,6
DRV00119,1,0.7880326085714591,6
DRV00133,1,0.7879120365070624,6
DRV00122,1,0.7874813424484876,6
DRV00036,1,0.7865724116511114,6
DRV00138,1,0.7849523724229674,6
DRV00043,1,0.7839609113579982,6
DRV00139,1,0.7781871976904255,6
DRV00118,1,0.772201044462486,6
DRV00104,0,0.5305754701311926,6
DRV00001,0,0.530308728209525,6
DRV00005,0,0.5303015597764453,6
DRV00143,0,0.5261023848358091,6
DRV00012,0,0.5249358936192344,6
DRV00098,1,0.5235850980530133,6
DRV00099,0,0.519012684616576,6
DRV00061,0,0.5189065308220974,6
DRV00037,0,0.5168634461116038,6
DRV00013,0,0.5164894635547693,6
DRV00056,0,0.5164492590700037,6
DRV00053,0,0.515282549578682,6
DRV00150,0,0.5132370527992105,6
DRV00144,0,0.5127404425486313,6
DRV00082,0,0.5111278234223992,6
DRV00149,0,0.5068731144403342,6
DRV00147,1,0.5054201982136249,6
DRV00010,0,0.5025361204103845,6
DRV00019,0,0.5010748718161938,6
DRV00033,0,0.5007080484081803,6
DRV00121,0,0.500412737113233,6
DRV00011,0,0.5001025594539951,6
DRV00092,0,0.4988145430227911,6
DRV00134,0,0.49698078858931927,6
DRV00127,1,0.4967485393971116,6
DRV00015,0,0.4965555267884459,6
DRV00113,0,0.49618144061651637,6
DRV00020,0,0.4959699072063204,6
DRV00017,0,0.49496776846193263,6
DRV00108,0,0.494867746492292,6
DRV00054,0,0.4948504339491458,6
DRV00065,0,0.49295860832365085,6
DRV00103,0,0.4923331702558233,6
DRV00142,0,0.4920007641378311,6
DRV00081,0,0.4914696401390289,6
DRV00014,0,0.49121426331961787,6
DRV00006,0,0.4907009298800213,6
DRV00059,0,0.4901233273854182,6
DRV00126,0,0.48940340071165744,6
DRV00141,1,0.4885650252511586,6
DRV00029,0,0.48835637538704735,6
DRV00039,0,0.4880075825785824,6
DRV00045,0,0.48787257609370194,6
DRV00047,0,0.487864537503006,6
DRV00016,0,0.4870156769084647,6
DRV00145,0,0.4869896563116754,6
DRV00069,0,0.4869162927876305,6
DRV00097,0,0.4868989641181655,6
DRV00026,0,0.4866225383238921,6
DRV00063,0,0.4865966227890303,6
DRV00117,0,0.48638525573472907,6
DRV00032,0,0.4861133805942567,6
DRV00078,0,0.4857698235156479,6
DRV00109,0,0.4849159334326412,6
DRV00112,0,0.4844331943368604,6
DRV00050,0,0.4842329735681775,6
DRV00044,0,0.48411334721274657,6
DRV00062,0,0.4840943449213688,6
DRV00024,0,0.48382735507227664,6
DRV00035,0,0.48359866429491466,6
DRV00041,0,0.4828888833494129,6
DRV00084,0,0.4826673507023992,6
DRV00009,0,0.48226669397460625,6
DRV00075,0,0.4821995314363542,6
DRV00085,0,0.48209616854449566,6
DRV00095,1,0.48202408136127733,6
DRV00114,0,0.4815072946789835,6
DRV00087,0,0.4809810176379068,6
DRV00030,0,0.4805117124262852,6
DRV00107,0,0.48017016359885584,6
DRV00130,0,0.48013305497233716,6
DRV00064,0,0.47994210050369485,6
DRV00111,0,0.47970125711438766,6
DRV00124,0,0.47931859899443213,6
DRV00128,0,0.4785224766883583,6
DRV00125,0,0.47702718127829236,6
DRV00028,1,0.4766860000575509,6
DRV00049,0,0.4766467518126061,6
DRV00146,0,0.4762473444891265,6
DRV00055,0,0.47609167012149717,6
DRV00102,1,0.47593752336868594,6
DRV00071,0,0.4751556939578299,6
DRV00025,0,0.4745629672638762,6
DRV00079,0,0.4738155033980415,6
DRV00057,0,0.47354242819116665,6
DRV00077,0,0.47316389795971936,6
DRV00148,0,0.4722920464714617,6
DRV00080,0,0.4713770549345995,6
DRV00023,0,0.47017280597378985,6
DRV00022,0,0.46943753144598677,6
DRV00123,0,0.46910877296159514,6
DRV00120,0,0.466961381985084,6
DRV00083,0,0.46610208322771524,6
DRV00110,0,0.4656467413401671,6
DRV00034,0,0.4638913964176526,6
DRV00091,0,0.4554889798341084,6
