model,agg,n_drivers,positives,base_rate,roc_auc,ap,tp@5,fn@5,miss_rate@5,precision@5,recall@5,tp@10,fn@10,miss_rate@10,precision@10,recall@10,tp@20,fn@20,miss_rate@20,precision@20,recall@20,tp@30,fn@30,miss_rate@30,precision@30,recall@30,tp@50,fn@50,miss_rate@50,precision@50,recall@50,tp@100,fn@100,miss_rate@100,precision@100,recall@100
extratrees,mean,124.0,35.0,0.28225806451612906,0.9165329052969501,0.9030064592410929,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,10.0,25.0,0.7142857142857143,1.0,0.2857142857142857,20.0,15.0,0.42857142857142855,1.0,0.5714285714285714,27.0,8.0,0.22857142857142856,0.9,0.7714285714285715,31.0,4.0,0.11428571428571428,0.62,0.8857142857142857,34.0,1.0,0.02857142857142857,0.34,0.9714285714285714
extratrees,topq_mean,124.0,35.0,0.28225806451612906,0.9120385232744782,0.9037737689447679,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,10.0,25.0,0.7142857142857143,1.0,0.2857142857142857,20.0,15.0,0.42857142857142855,1.0,0.5714285714285714,29.0,6.0,0.17142857142857143,0.9666666666666667,0.8285714285714286,30.0,5.0,0.14285714285714285,0.6,0.8571428571428571,34.0,1.0,0.02857142857142857,0.34,0.9714285714285714
hgb,last,124.0,35.0,0.28225806451612906,0.612841091492777,0.4870337098120948,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,6.0,29.0,0.8285714285714286,0.6,0.17142857142857143,10.0,25.0,0.7142857142857143,0.5,0.2857142857142857,13.0,22.0,0.6285714285714286,0.43333333333333335,0.37142857142857144,16.0,19.0,0.5428571428571428,0.32,0.45714285714285713,27.0,8.0,0.22857142857142856,0.27,0.7714285714285715
hgb,max,124.0,35.0,0.28225806451612906,0.9123595505617977,0.9041210051346182,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,10.0,25.0,0.7142857142857143,1.0,0.2857142857142857,20.0,15.0,0.42857142857142855,1.0,0.5714285714285714,28.0,7.0,0.2,0.9333333333333333,0.8,31.0,4.0,0.11428571428571428,0.62,0.8857142857142857,34.0,1.0,0.02857142857142857,0.34,0.9714285714285714
hgb,mean,124.0,35.0,0.28225806451612906,0.8693418940609953,0.8051455319304716,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,10.0,25.0,0.7142857142857143,1.0,0.2857142857142857,17.0,18.0,0.5142857142857142,0.85,0.4857142857142857,23.0,12.0,0.34285714285714286,0.7666666666666667,0.6571428571428571,28.0,7.0,0.2,0.56,0.8,34.0,1.0,0.02857142857142857,0.34,0.9714285714285714
hgb,topq_mean,124.0,35.0,0.28225806451612906,0.9062600321027288,0.8913927782270238,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,10.0,25.0,0.7142857142857143,1.0,0.2857142857142857,20.0,15.0,0.42857142857142855,1.0,0.5714285714285714,28.0,7.0,0.2,0.9333333333333333,0.8,29.0,6.0,0.17142857142857143,0.58,0.8285714285714286,34.0,1.0,0.02857142857142857,0.34,0.9714285714285714
logreg,last,124.0,35.0,0.28225806451612906,0.9059390048154093,0.89259401744637,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,10.0,25.0,0.7142857142857143,1.0,0.2857142857142857,20.0,15.0,0.42857142857142855,1.0,0.5714285714285714,28.0,7.0,0.2,0.9333333333333333,0.8,30.0,5.0,0.14285714285714285,0.6,0.8571428571428571,33.0,2.0,0.05714285714285714,0.33,0.9428571428571428
logreg,max,124.0,35.0,0.28225806451612906,0.8959871589085072,0.8530125402988572,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,10.0,25.0,0.7142857142857143,1.0,0.2857142857142857,18.0,17.0,0.4857142857142857,0.9,0.5142857142857142,26.0,9.0,0.2571428571428571,0.8666666666666667,0.7428571428571429,30.0,5.0,0.14285714285714285,0.6,0.8571428571428571,33.0,2.0,0.05714285714285714,0.33,0.9428571428571428
logreg,mean,124.0,35.0,0.28225806451612906,0.8789727126805779,0.8289538245181126,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,10.0,25.0,0.7142857142857143,1.0,0.2857142857142857,19.0,16.0,0.45714285714285713,0.95,0.5428571428571428,24.0,11.0,0.3142857142857143,0.8,0.6857142857142857,30.0,5.0,0.14285714285714285,0.6,0.8571428571428571,33.0,2.0,0.05714285714285714,0.33,0.9428571428571428
logreg,topq_mean,124.0,35.0,0.28225806451612906,0.9024077046548956,0.8688997129155756,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,10.0,25.0,0.7142857142857143,1.0,0.2857142857142857,20.0,15.0,0.42857142857142855,1.0,0.5714285714285714,24.0,11.0,0.3142857142857143,0.8,0.6857142857142857,30.0,5.0,0.14285714285714285,0.6,0.8571428571428571,33.0,2.0,0.05714285714285714,0.33,0.9428571428571428
xgb,last,124.0,35.0,0.28225806451612906,0.6102728731942215,0.46146737656386727,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,6.0,29.0,0.8285714285714286,0.6,0.17142857142857143,7.0,28.0,0.8,0.35,0.2,11.0,24.0,0.6857142857142857,0.36666666666666664,0.3142857142857143,18.0,17.0,0.4857142857142857,0.36,0.5142857142857142,31.0,4.0,0.11428571428571428,0.31,0.8857142857142857
xgb,max,124.0,35.0,0.28225806451612906,0.9136436597110754,0.9029704730984852,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,10.0,25.0,0.7142857142857143,1.0,0.2857142857142857,20.0,15.0,0.42857142857142855,1.0,0.5714285714285714,29.0,6.0,0.17142857142857143,0.9666666666666667,0.8285714285714286,30.0,5.0,0.14285714285714285,0.6,0.8571428571428571,34.0,1.0,0.02857142857142857,0.34,0.9714285714285714
xgb,mean,124.0,35.0,0.28225806451612906,0.9049759229534511,0.8227442230746462,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,10.0,25.0,0.7142857142857143,1.0,0.2857142857142857,16.0,19.0,0.5428571428571428,0.8,0.45714285714285713,24.0,11.0,0.3142857142857143,0.8,0.6857142857142857,30.0,5.0,0.14285714285714285,0.6,0.8571428571428571,35.0,0.0,0.0,0.35,1.0
xgb,topq_mean,124.0,35.0,0.28225806451612906,0.917174959871589,0.8986382573173121,5.0,30.0,0.8571428571428571,1.0,0.14285714285714285,10.0,25.0,0.7142857142857143,1.0,0.2857142857142857,20.0,15.0,0.42857142857142855,1.0,0.5714285714285714,28.0,7.0,0.2,0.9333333333333333,0.8,29.0,6.0,0.17142857142857143,0.58,0.8285714285714286,34.0,1.0,0.02857142857142857,0.34,0.9714285714285714
