driver_id,y_true,score,n_months
DRV00119,1,0.9951977871994622,6
DRV00132,1,0.9936145969624564,6
DRV00002,1,0.8437303673100733,6
DRV00090,1,0.7987589023165869,6
DRV00003,1,0.7963869586679697,6
DRV00088,1,0.793947636693761,6
DRV00038,1,0.7794524870196596,6
DRV00060,1,0.7737216606850545,6
DRV00094,1,0.74433636962894,6
DRV00143,0,0.7283206210365971,6
DRV00118,1,0.7166598519511967,6
DRV00036,1,0.715012180047941,6
DRV00133,1,0.7122869540351804,6
DRV00129,1,0.7059312494135815,6
DRV00100,1,0.7019438128087497,6
DRV00051,1,0.6882734146784881,6
DRV00105,1,0.6873241682299034,6
DRV00101,1,0.6861386879344183,6
DRV00066,1,0.68498858908543,6
DRV00018,1,0.6757477618336676,6
DRV00070,1,0.6560929113342855,6
DRV00089,1,0.6556879665752582,6
DRV00011,0,0.6552049601948478,6
DRV00138,1,0.6461367931008128,6
DRV00139,1,0.6414709225430753,6
DRV00074,1,0.6017195950685086,6
DRV00043,1,0.5897213099187777,6
DRV00122,1,0.5810456238662829,6
DRV00058,1,0.5624692202543913,6
DRV00004,1,0.5485514640650434,6
DRV00053,0,0.5347128267193473,6
DRV00063,0,0.5150660903235702,6
DRV00113,0,0.510287557688479,6
DRV00065,0,0.48414618351416416,6
DRV00056,0,0.46556021931294156,6
DRV00084,0,0.45616949437660537,6
DRV00001,0,0.437794326818799,6
DRV00015,0,0.43677282217258184,6
DRV00010,0,0.4364672118561647,6
DRV00114,0,0.4316660952559789,6
DRV00121,0,0.42182560314914197,6
DRV00057,0,0.4207512418453861,6
DRV00045,0,0.40944545863220705,6
DRV00064,0,0.40426545561478155,6
DRV00013,0,0.4033429459981749,6
DRV00098,1,0.3819014224502042,6
DRV00062,0,0.38067909417005996,6
DRV00054,0,0.3701167709794005,6
DRV00141,1,0.36265738797346925,6
DRV00083,0,0.35895221262256694,6
DRV00005,0,0.35265287895495046,6
DRV00102,1,0.3511526052861014,6
DRV00125,0,0.3426889663099131,6
DRV00049,0,0.33974945966410486,6
DRV00108,0,0.3393673807601636,6
DRV00111,0,0.3362473675843062,6
DRV00099,0,0.33617650450056447,6
DRV00097,0,0.33597118576854534,6
DRV00016,0,0.328336995381429,6
DRV00103,0,0.3272095724174812,6
DRV00130,0,0.3269317514111576,6
DRV00050,0,0.3247413023154654,6
DRV00078,0,0.3244891910988472,6
DRV00104,0,0.3227049004957307,6
DRV00077,0,0.322280093321918,6
DRV00075,0,0.3200607145652019,6
DRV00110,0,0.31395045278902683,6
DRV00117,0,0.311912018686042,6
DRV00012,0,0.30725727612749265,6
DRV00032,0,0.29546851466847424,6
DRV00147,1,0.2883505463108493,6
DRV00037,0,0.2839284325126957,6
DRV00127,1,0.28188900351131063,6
DRV00124,0,0.28123033865402364,6
DRV00091,0,0.2766929228391188,6
DRV00145,0,0.2753006856716203,6
DRV00019,0,0.2719334765621931,6
DRV00134,0,0.2674550049841038,6
DRV00095,1,0.26496032706231964,6
DRV00071,0,0.262907552294331,6
DRV00044,0,0.2606158076577958,6
DRV00150,0,0.25725474513387825,6
DRV00109,0,0.25650428078907683,6
DRV00148,0,0.25146884907738193,6
DRV00080,0,0.2471286125340909,6
DRV00112,0,0.24018515172188964,6
DRV00069,0,0.23952664650246858,6
DRV00047,0,0.23919674419631576,6
DRV00024,0,0.2182513488288368,6
DRV00061,0,0.2170889052531913,6
DRV00025,0,0.21502711570112626,6
DRV00041,0,0.21054712866077113,6
DRV00120,0,0.2102360061668162,6
DRV00006,0,0.2098378837294402,6
DRV00107,0,0.20821215045078445,6
DRV00028,1,0.207150243918656,6
DRV00059,0,0.20066661394073854,6
DRV00026,0,0.19986287609575798,6
DRV00039,0,0.19320863370437258,6
DRV00092,0,0.19113366819054178,6
DRV00082,0,0.19105302645155384,6
DRV00029,0,0.18234296775765813,6
DRV00033,0,0.17786899947142742,6
DRV00034,0,0.17689605556163956,6
DRV00014,0,0.1753517187901803,6
DRV00144,0,0.1714360712729436,6
DRV00030,0,0.16552765852915144,6
DRV00017,0,0.14766838622021894,6
DRV00081,0,0.1464638248627539,6
DRV00035,0,0.1421256119939272,6
DRV00126,0,0.14134380193872265,6
DRV00055,0,0.13755284638235166,6
DRV00087,0,0.135933731372316,6
DRV00142,0,0.13453725562238955,6
DRV00079,0,0.13425858758083697,6
DRV00023,0,0.13309904877237017,6
DRV00022,0,0.13159462447207276,6
DRV00009,0,0.125114401465738,6
DRV00123,0,0.11551166021790832,6
DRV00149,0,0.1001970575148331,6
DRV00085,0,0.09730726812102217,6
DRV00128,0,0.0950532770396174,6
DRV00146,0,0.08057958491595871,6
DRV00020,0,0.07224696911795919,6
